Symbol,Date,Open,High,Low,Close,Volume
ULBSL,2025-07-17,3351.0,3525.9,3351.0,3504.93,9156
ULHC,2025-07-17,475.0,497.0,475.0,492.73,33357
UMHL,2025-07-17,565.0,619.0,565.0,583.55,563576
UMRH,2025-07-17,619.8,633.9,619.8,625.6,45441
UNHPL,2025-07-17,422.0,459.5,418.0,449.41,437776
UNL,2025-07-17,47150.0,47150.0,46900.0,46900.0,40
UNLB,2025-07-17,2311.38,2405.1,2286.0,2398.15,2734
UPCL,2025-07-17,409.9,429.0,409.0,426.42,584864
UPPER,2025-07-17,199.0,208.0,198.0,206.18,896797
USHEC,2025-07-17,474.9,499.0,474.9,482.88,44082
USHL,2025-07-17,657.0,686.1,645.2,683.91,13671
USLB,2025-07-17,1820.2,1892.0,1801.0,1887.12,12989
VLBS,2025-07-17,901.0,917.0,887.3,906.4,15037
VLUCL,2025-07-17,616.0,660.0,615.0,642.93,27458
WNLB,2025-07-17,2200.0,2220.0,2180.0,2208.62,2229
